900;9844;869;9060
2190;8410;2159;5835
275;3885;164;180
550;5395;509;5385
270;5095;224;5115
845;5560;689;5565
345;5400;344;3675
500;7800;494;10920
600;5350;554;5355
700;6390;314;5235
1032;5120;584;615
540;3830;479;3450
1475;6396;1379;6510
320;5025;104;4995
250;5700;209;5685
325;6840;239;6840
200;6420;59;6150
75;6540;29;6540
35;6320;59;5895
840;7485;614;6570
638;6300;164;6270
1280;6180;1079;6135
505;6245;314;6210
610;5975;224;5970
360;3180;254;2910
600;5275;329;5280
290;7310;194;7095
570;5525;104;5535
3115;7763;3074;7725
3290;4455;3269;7620
715;6555;134;6465
70;6300;29;6495
330;2860;254;2850
725;11790;599;11745
645;5680;419;990
650;5515;869;5445
480;6295;314;6270
780;7342;134;5205
1530;7975;1094;7830
480;10086;59;6795
845;7910;569;6600
215;5760;209;5760
620;6805;584;6750
140;3066;74;135
132;5025;134;2895
160;3030;74;2655
33;4380;29;4350
385;5902;194;5895
330;6272;224;5325
610;6100;464;6000
