900;9844;860;9873
2190;8410;2200;8401
275;3885;280;3872
550;5395;20;5445
270;5095;220;5141
845;5560;20;5558
345;5400;220;5404
500;7800;460;10971
600;5350;160;5353
700;6390;640;6349
1032;5120;1060;5113
540;3830;540;3600
1475;6396;1260;6489
320;5025;20;5022
250;5700;240;5693
325;6840;240;6852
200;6420;40;6408
75;6540;20;6558
35;6320;20;6329
840;7485;580;6656
638;6300;140;6380
1280;6180;0;6196
505;6245;60;6239
610;5975;240;6019
360;3180;360;2908
600;5275;220;5328
290;7310;120;7074
570;5525;20;5553
3115;7763;3100;7762
3290;4455;3300;7764
715;6555;20;6576
70;6300;40;6533
330;2860;40;2850
725;11790;620;11778
645;5680;440;5693
650;5515;120;5522
480;6295;20;6301
780;7342;160;6424
1530;7975;1100;7979
480;10086;20;10175
845;7910;860;7928
215;5760;220;5786
620;6805;600;6911
140;3066;120;3071
132;5025;140;5026
160;3030;160;3033
33;4380;120;4396
385;5902;220;5893
330;6272;240;6256
610;6100;20;6126
