900;9844;869;9060
2190;8410;2159;5835
275;3885;164;180
550;5395;509;5385
270;5095;224;5115
845;5560;839;5565
345;5400;344;3675
500;7800;494;5430
600;5350;554;5355
700;6390;314;4425
1032;5120;584;615
540;3830;479;3450
1475;6396;1379;6510
320;5025;104;4995
250;5700;3389;5685
325;6840;239;6840
200;6420;5114;5595
75;6540;29;6540
35;6320;59;360
840;7485;6659;7500
638;6300;164;6270
1280;6180;1274;3390
505;6245;3719;4515
610;5975;569;4275
360;3180;254;630
600;5275;2114;5280
290;7310;1364;2850
570;5525;329;4335
3115;7763;4244;5205
3290;4455;3269;4335
715;6555;134;6465
70;6300;2879;6090
330;2860;1154;2610
725;11790;599;11745
645;5680;419;525
650;5515;3509;3960
480;6295;1514;6270
780;7342;134;5205
1530;7975;1094;7830
480;10086;59;6795
845;7910;569;6600
215;5760;209;5760
620;6805;584;6750
140;3066;74;135
132;5025;134;2895
160;3030;74;2655
33;4380;614;1335
385;5902;194;5895
330;6272;224;5325
610;6100;3794;5625
